WKT,label,fillColor
"POLYGON((120.0947544860762269 -23.382538489769353, 120.0947850984687438 -23.382538210165549, 120.0948679373180970 -23.382531053596455, 120.0949864737737359 -23.382515489841249, 120.0951355242767858 -23.382491700959340, 120.0953747480955711 -23.382449376831725, 120.0954652147655773 -23.382430028889167, 120.0955368054368243 -23.382411047492743, 120.0955469767510678 -23.382407794138525, 120.0955978443753226 -23.382553598545687, 120.0954695287728008 -23.382586410547760, 120.0951086392876312 -23.382651522551387, 120.0948768478308233 -23.382683822329740, 120.0947544965319692 -23.382691802783653, 120.0947544860762269 -23.382538489769353 ))",lane,green
"POLYGON((120.0947544860762269 -23.382538489769353, 120.0948252956147469 -23.382538469569630, 120.0949347371951250 -23.382535007316039, 120.0950390927981819 -23.382528476641358, 120.0951585097168827 -23.382516343668350, 120.0952774372992340 -23.382499515736644, 120.0953048323699654 -23.382648577292446, 120.0951900125910085 -23.382666397246196, 120.0949886370212362 -23.382685235085446, 120.0947544965319692 -23.382691802783653, 120.0947544860762269 -23.382538489769353 ))",lane,green
"POLYGON((120.1897144894222112 -23.385541544886995, 120.1892815341721613 -23.385829784907898, 120.1891779647141836 -23.385890850730778, 120.1891278909813709 -23.385913166732115, 120.1890654828407563 -23.385771248102223, 120.1890859231370043 -23.385762754978188, 120.1891238694478698 -23.385743060856622, 120.1892199081741334 -23.385683712698705, 120.1894552121296714 -23.385527985007496, 120.1896156019576043 -23.385418417056667, 120.1897144894222112 -23.385541544886995 ))",lane,green
"POLYGON((120.1889019504530081 -23.384258209038107, 120.1887691359019063 -23.384291022323588, 120.1887562262819533 -23.384296985169511, 120.1887447839998612 -23.384307191243380, 120.1887330489361626 -23.384326607016651, 120.1887242484927669 -23.384353696632666, 120.1887182849649670 -23.384389904764927, 120.1887169186015417 -23.384432161039329, 120.1887193657512725 -23.384462497899425, 120.1887250402105476 -23.384489944547615, 120.1887334525999136 -23.384509173992750, 120.1887626004624721 -23.384545823560600, 120.1887581035274538 -23.384575349788457, 120.1887744378491385 -23.384592680876329, 120.1887756115741061 -23.384593944606427, 120.1887853926668162 -23.384605228110160, 120.1888478932719513 -23.384668864978701, 120.1887587017262283 -23.384742206187856, 120.1887497031825118 -23.384732728267922, 120.1886671514004371 -23.384646885692815, 120.1886321376963128 -23.384644728712676, 120.1886255843749730 -23.384637326773288, 120.1885832318201975 -23.384582261740561, 120.1885619073416484 -23.384532788710998, 120.1885498735480234 -23.384474193705569, 120.1885481075602859 -23.384393113473472, 120.1885590563865399 -23.384317808196753, 120.1885810579691706 -23.384257036513665, 120.1886081465636128 -23.384214502030468, 120.1886495146389962 -23.384175033345746, 120.1886985122407103 -23.384148383714511, 120.1888572440319940 -23.384106534000485, 120.1889019504530081 -23.384258209038107 ))",lane,green
"POLYGON((120.1251953620434325 -23.312432891363433, 120.1251810844221110 -23.312457093250657, 120.1250712676264681 -23.312695129945148, 120.1249936217818722 -23.312840609851733, 120.1249404221511463 -23.312918726182176, 120.1249007168476688 -23.312959909909245, 120.1248552404454880 -23.312990711892174, 120.1248161202680283 -23.313007065605592, 120.1247619274016880 -23.312862255340886, 120.1247741525591307 -23.312858640239365, 120.1247955702595953 -23.312840937220627, 120.1248126844578401 -23.312820887880398, 120.1248443695023660 -23.312773927858743, 120.1248768363077023 -23.312717216256086, 120.1249285672889812 -23.312615624853146, 120.1249892943632195 -23.312487575810841, 120.1250039625016431 -23.312453171002465, 120.1250495324213079 -23.312359526908036, 120.1251953620434325 -23.312432891363433 ))",lane,green
"POLYGON((120.2256648472101737 -23.366071461323954, 120.2256398099958583 -23.366077517919848, 120.2256046995353097 -23.366090710327109, 120.2255692959791129 -23.366108507625921, 120.2255162888821641 -23.366141569015913, 120.2252520362358250 -23.366312925196122, 120.2251566695335561 -23.366187539102638, 120.2254794060545205 -23.365980140388477, 120.2255573526980236 -23.365943008818191, 120.2256284542114940 -23.365921950883218, 120.2256648472101737 -23.366071461323954 ))",lane,green
"POLYGON((120.1564245823568221 -23.382171834740359, 120.1564029686558060 -23.382183759232496, 120.1563885921167143 -23.382191618594271, 120.1563519172724694 -23.382211673514535, 120.1563326524561281 -23.382247163118418, 120.1562855130295764 -23.382272548154650, 120.1562292785430336 -23.382307325981998, 120.1561953424909552 -23.382331804348207, 120.1558705584137838 -23.382631751257022, 120.1558609743745887 -23.382641685929738, 120.1557436031093715 -23.382533370989942, 120.1560291706036467 -23.382270273731896, 120.1560722011984711 -23.382228818185171, 120.1561299999147682 -23.382184920586071, 120.1562491194643900 -23.382114731001714, 120.1562918596175267 -23.382116795487389, 120.1563033999429983 -23.382110110709269, 120.1563186566742140 -23.382101709354293, 120.1563636444789671 -23.382077047254665, 120.1564245823568221 -23.382171834740359 ))",lane,green
"POLYGON((120.1896552108802761 -23.385398090428348, 120.1898451405041362 -23.385335735904718, 120.1902216737400608 -23.385200734706163, 120.1903013819993479 -23.385180577219475, 120.1903496963085111 -23.385173430499141, 120.1903680936976013 -23.385325654784009, 120.1903538145245442 -23.385327103503034, 120.1903140091333371 -23.385334789538153, 120.1902679446802401 -23.385347533618483, 120.1901209499231129 -23.385398860471239, 120.1899646642963311 -23.385456600589360, 120.1897107728440521 -23.385540733334052, 120.1896552108802761 -23.385398090428348 ))",lane,green
"POLYGON((120.0592536755396367 -23.328075003168053, 120.0593857161193945 -23.328166158756324, 120.0594218082575902 -23.328206417957261, 120.0594462623163458 -23.328254084287018, 120.0594584915809618 -23.328310692848947, 120.0594581060392660 -23.328393850372898, 120.0594443212641720 -23.328474212718322, 120.0594211467940184 -23.328546000158912, 120.0593914151293436 -23.328553593029964, 120.0593771382654169 -23.328588900630239, 120.0593738134851575 -23.328596666548944, 120.0593374365210791 -23.328682272179608, 120.0592263292993157 -23.328641944087751, 120.0592617285266628 -23.328560672672889, 120.0592627062695518 -23.328556428747438, 120.0592660310498112 -23.328548662828732, 120.0592762986709682 -23.328523468891564, 120.0592606482637601 -23.328495754218141, 120.0592782491628669 -23.328441755566810, 120.0592861686074825 -23.328403379908147, 120.0592904689569695 -23.328359497570439, 120.0592893906768401 -23.328323652608391, 120.0592851837524719 -23.328303338479348, 120.0592780431868721 -23.328289706673211, 120.0592671862647896 -23.328278513766730, 120.0591534358865861 -23.328201979997827, 120.0592536755396367 -23.328075003168053 ))",lane,green
"POLYGON((120.1054789275148088 -23.306878345687453, 120.1055136489114681 -23.306896664723942, 120.1056681827378094 -23.306965873340124, 120.1057006540628836 -23.306975434854367, 120.1057352767634491 -23.306980661818007, 120.1057632485426482 -23.306981466451708, 120.1057787992439029 -23.306981281434881, 120.1057829174291475 -23.307134502987024, 120.1057292233881430 -23.307133525110368, 120.1056529360744022 -23.307121899417350, 120.1055868195822903 -23.307099797142115, 120.1053954125958646 -23.307010915747998, 120.1054789275148088 -23.306878345687453 ))",lane,green
