WKT,label,fillColor
"POLYGON((120.2136321252214603 -23.363344513642069, 120.2137333558872023 -23.363407868591093, 120.2137763893638214 -23.363408668928168, 120.2138415294492611 -23.363454608134805, 120.2138588416431461 -23.363469591394575, 120.2137422676314648 -23.363578695394378, 120.2137278897192102 -23.363566420008103, 120.2137089148827305 -23.363551617803336, 120.2136836805717963 -23.363535824190330, 120.2136657799821649 -23.363497726768361, 120.2135651362343257 -23.363435816297536, 120.2136321252214603 -23.363344513642069 ))",lane,blue
"POLYGON((120.2138796886388818 -23.363688178389189, 120.2139065762327355 -23.363566549615192, 120.2139324882635193 -23.363481127550547, 120.2139375728676776 -23.363464061223588, 120.2141015917661823 -23.363506270318803, 120.2140962137523340 -23.363523336729463, 120.2140809599460168 -23.363574626000689, 120.2140560250731423 -23.363647226556632, 120.2140431196650431 -23.363714948001955, 120.2138796886388818 -23.363688178389189 ))",lane,blue
"POLYGON((120.0993022041258272 -23.383467724814348, 120.0992598587816963 -23.383518389781472, 120.0991999084928621 -23.383563732639976, 120.0991001528374516 -23.383617122694999, 120.0990836247011920 -23.383626066154778, 120.0989981354108621 -23.383490203562777, 120.0991260574728605 -23.383423261920004, 120.0991375976813362 -23.383414861625234, 120.0991513869576949 -23.383400501525660, 120.0991622420878922 -23.383385419940291, 120.0993022041258272 -23.383467724814348 ))",lane,blue
"POLYGON((120.1951836521599538 -23.382761479713138, 120.1951846582158600 -23.383172390816987, 120.1951793818722654 -23.383246159539546, 120.1950144844688414 -23.383229231993432, 120.1950170259427124 -23.383208554777878, 120.1950200527997017 -23.383134606116323, 120.1950198397916352 -23.382879445643023, 120.1950176802633742 -23.382764235770227, 120.1951836521599538 -23.382761479713138 ))",lane,blue
"POLYGON((120.1767173536557970 -23.383164928015636, 120.1766912368559239 -23.383115998095282, 120.1766795948540410 -23.383065890271152, 120.1766787113059809 -23.383017224023603, 120.1766951338495440 -23.382894063298975, 120.1768640413639708 -23.382913608121331, 120.1768446854870601 -23.383047965686365, 120.1768461532805895 -23.383058890400212, 120.1768495771140882 -23.383069453394656, 120.1768544678851986 -23.383078390744298, 120.1767173536557970 -23.383164928015636 ))",lane,blue
"POLYGON((120.1951458035106916 -23.382779097128754, 120.1951795690673332 -23.383122822865645, 120.1951810433880044 -23.383229455350493, 120.1951793818722654 -23.383246159539546, 120.1950144844688414 -23.383229231993432, 120.1950174173711513 -23.383211714828527, 120.1950144778678074 -23.383132440738232, 120.1949994046124201 -23.382962970047909, 120.1949807127668342 -23.382795396487241, 120.1951458035106916 -23.382779097128754 ))",lane,blue
"POLYGON((120.0755641237301671 -23.365344013324907, 120.0755148254588571 -23.365264210717193, 120.0755066090700426 -23.365250759798657, 120.0754937953259654 -23.365228461737129, 120.0754506622850195 -23.365201838387854, 120.0754090908629711 -23.365127812158426, 120.0755572580334798 -23.365058517191219, 120.0755665504856584 -23.365075308545803, 120.0755977535030022 -23.365130828210899, 120.0755965828014561 -23.365173897042651, 120.0756103745778333 -23.365196194825177, 120.0756185909604901 -23.365209555453362, 120.0756678892379578 -23.365289448351427, 120.0755641237301671 -23.365344013324907 ))",lane,blue
"POLYGON((120.0754104103972324 -23.364398897772274, 120.0754446449883491 -23.364449631183915, 120.0756022225745140 -23.364692738149291, 120.0756479988396345 -23.364756560369461, 120.0756643330196926 -23.364771814779283, 120.0755433575732502 -23.364876676388143, 120.0754929849011499 -23.364817911738881, 120.0753309081447284 -23.364571555604312, 120.0752696770357561 -23.364479386622469, 120.0754104103972324 -23.364398897772274 ))",lane,blue
"POLYGON((120.1885317075045738 -23.384846014556301, 120.1884962968732014 -23.384760068242962, 120.1884907211592816 -23.384746435990422, 120.1884828955338764 -23.384726393764736, 120.1884477825486786 -23.384702567128497, 120.1884348703363419 -23.384670517737069, 120.1884217631764170 -23.384648129468892, 120.1884136449787664 -23.384640366814506, 120.1885442058314091 -23.384545614990629, 120.1885739407411817 -23.384585605134027, 120.1886030903894677 -23.384648438903377, 120.1885939973245652 -23.384687085767893, 120.1886023119784357 -23.384707308434778, 120.1886079854955856 -23.384720940659418, 120.1886432983175702 -23.384806796710307, 120.1885317075045738 -23.384846014556301 ))",lane,blue
"POLYGON((120.1876118614330245 -23.384748131346950, 120.1876964566087138 -23.384680389450803, 120.1877081923559149 -23.384670995906382, 120.1877248180121512 -23.384657899062603, 120.1877341067512482 -23.384620245336137, 120.1877453534391956 -23.384610219898768, 120.1877529814507368 -23.384600827526154, 120.1877596310666748 -23.384586108301893, 120.1879189554594009 -23.384629041059116, 120.1879087857092084 -23.384655228162234, 120.1878823817312185 -23.384697672159780, 120.1878485441042958 -23.384731269823438, 120.1878028706486000 -23.384740853629918, 120.1877869296088161 -23.384753859988045, 120.1877748026733256 -23.384763614805467, 120.1876901097005641 -23.384831447019864, 120.1876118614330245 -23.384748131346950 ))",lane,blue
"POLYGON((120.2330766830146464 -23.369137322823822, 120.2330476352275022 -23.369133990367222, 120.2329955061613313 -23.369134817851163, 120.2328003894933491 -23.369146250096102, 120.2326129994467943 -23.369160117976378, 120.2325938301122372 -23.369161568090411, 120.2325814964803033 -23.369008710043282, 120.2325917657763495 -23.369008075081315, 120.2326252143085945 -23.369005537409656, 120.2330144695137359 -23.368981228553180, 120.2331015147024777 -23.368985808529878, 120.2330766830146464 -23.369137322823822 ))",lane,blue
"POLYGON((120.1246704705318041 -23.312703189830845, 120.1246852383269196 -23.312695962389919, 120.1247040155433776 -23.312681239706037, 120.1247261175400950 -23.312658751103448, 120.1247474365875696 -23.312628588044311, 120.1247604426006437 -23.312601948680339, 120.1247675807585902 -23.312580276959626, 120.1247699264535862 -23.312557071670072, 120.1247658177634856 -23.312543077837629, 120.1247610248079206 -23.312534321040787, 120.1247459621930061 -23.312520872075264, 120.1248459087442507 -23.312398409846690, 120.1248625361307953 -23.312410684591261, 120.1248995084180112 -23.312449769766547, 120.1249211256042747 -23.312488949612509, 120.1249343326487258 -23.312541855991086, 120.1249334556893844 -23.312589800418038, 120.1249189846968411 -23.312646777758113, 120.1248865184456961 -23.312711615492269, 120.1248430976354960 -23.312767698187295, 120.1247927320324134 -23.312812586859832, 120.1247397247137882 -23.312842397797225, 120.1246704705318041 -23.312703189830845 ))",lane,blue
"POLYGON((120.2323005935100578 -23.368831459925171, 120.2323105697781903 -23.368836423048603, 120.2323269031823805 -23.368840300874325, 120.2323570265094860 -23.368839299087223, 120.2324081769645349 -23.368829984589384, 120.2324940467780506 -23.368809103022184, 120.2326797715773117 -23.368757223378862, 120.2329051053792944 -23.368686190881770, 120.2329423674000648 -23.368671372634405, 120.2329612428507904 -23.368662970247122, 120.2330387122516296 -23.368798473965538, 120.2330010591287775 -23.368814917550803, 120.2327697596499642 -23.368890646848005, 120.2324829082012912 -23.368970274477554, 120.2323720985825985 -23.368991434030346, 120.2323092111488123 -23.368992084002606, 120.2322510173648870 -23.368979459954207, 120.2322049504979790 -23.368956810217337, 120.2323005935100578 -23.368831459925171 ))",lane,blue
"POLYGON((120.2252520362358250 -23.366312925196122, 120.2248894955367166 -23.366545797144352, 120.2248196665243574 -23.366582384656824, 120.2248027470458665 -23.366589432130853, 120.2247374048822442 -23.366448597822167, 120.2247545199610374 -23.366441460001987, 120.2247927596508045 -23.366421314344970, 120.2248760845236748 -23.366370276526275, 120.2251566695335561 -23.366187539102638, 120.2252520362358250 -23.366312925196122 ))",lane,blue
"POLYGON((120.0954723441357304 -23.383713594495955, 120.0954754782295170 -23.383777970622700, 120.0954749903217496 -23.383794223025200, 120.0954746088441232 -23.383936972180151, 120.0953044310638235 -23.383934673177347, 120.0953053076660194 -23.383881491910095, 120.0953089206465707 -23.383797340271589, 120.0953100912249633 -23.383752465632837, 120.0953077426543303 -23.383733505328941, 120.0954723441357304 -23.383713594495955 ))",lane,blue
