WKT,label,fillColor
"POLYGON((120.093138922504 -23.376072084775,120.093146746929 -23.376074520382,120.093258342576 -23.376106180461,120.093386760994 -23.376146864776,120.093449161105 -23.376171044789,120.093510876944 -23.376200371548,120.093572690901 -23.376234303087,120.093645362223 -23.376285928437,120.093724489950 -23.376357957565,120.093770265846 -23.376416362364,120.093796088842 -23.376459513786,120.093814772393 -23.376505466245,120.093829153587 -23.376565866388,120.093831895181 -23.376611371943,120.093829647566 -23.376638640271,120.093813221057 -23.376703654010,120.093432541630 -23.377708874801,120.093357833066 -23.377901033982,120.093183270988 -23.378145770632,120.092885973892 -23.378508371204,120.092704168543 -23.378667604958,120.092495562997 -23.378795876766,120.092266416409 -23.378889482938,120.092043819817 -23.378941734261,120.090046698310 -23.379242158235,120.089751630971 -23.379315648465,120.089466541471 -23.379417125857,120.089194266028 -23.379545506118,120.088938032046 -23.379699253392,120.088700382297 -23.379876741727,120.088484152952 -23.380076164507,120.088291495521 -23.380295173569,120.088040653998 -23.380643675594,120.087819438271 -23.380866304417,120.087667556764 -23.380967653519,120.087484670450 -23.381051675717,120.087255521657 -23.381112957945,120.087010330222 -23.381131537412,120.086773351216 -23.381105511103,120.086578132188 -23.381050128517,120.086401689681 -23.380969820438,120.086235221133 -23.380860616600,120.086063565368 -23.380697962354,120.085916356470 -23.380477515309,120.085833795550 -23.380257681855,120.085801113821 -23.380031152685,120.085814793527 -23.379844247755,120.085913142942 -23.379248393668,120.085978741852 -23.378851639149,120.086055595665 -23.378565306519,120.086107129328 -23.378438614455,120.086176560385 -23.378303159121,120.086257923836 -23.378173569256,120.086350632917 -23.378050657640,120.086454100865 -23.377935237054,120.086567545309 -23.377828120335,120.086674927406 -23.377742313868,120.087534868171 -23.377111029286,120.088840580350 -23.376249286851,120.089018767460 -23.376097096778,120.089182380823 -23.375929290630,120.089353523378 -23.375737194231,120.089468042635 -23.375615089006,120.089551365494 -23.375534526243,120.089791557087 -23.375341778113,120.089934245872 -23.375251898509,120.091072002934 -23.375428813903,120.092504848813 -23.375847171809,120.093029566400 -23.375894785720,120.093138922504 -23.376072084775))",AU09,brown
"POLYGON((120.210763306352 -23.352507149072,120.215649411940 -23.353265638821,120.215054274757 -23.357501690157,120.209853256985 -23.361254015635,120.207418735019 -23.358328399827,120.208539204996 -23.353122119091,120.210763306352 -23.352507149072))",BS13,brown
"POLYGON((120.216951641044 -23.371601973713,120.215488906113 -23.374619804250,120.221238984060 -23.376498731381,120.222053494202 -23.372267222272,120.216951641044 -23.371601973713))",H4A1,brown
"POLYGON((120.1907954256110092 -23.382891395286716, 120.1907314671015804 -23.382961840006427, 120.1907203183769627 -23.382974212964996, 120.1907021283123995 -23.382993811160378, 120.1906890258138391 -23.383039772687151, 120.1906254579015622 -23.383101188260261, 120.1905080866363450 -23.382992873320465, 120.1905223650520073 -23.382980318888391, 120.1905662757281174 -23.382936696122164, 120.1906126334123316 -23.382921333537984, 120.1906290631111201 -23.382903090200055, 120.1906399184506785 -23.382891078486586, 120.1907038769539496 -23.382820543476525, 120.1907954256110092 -23.382891395286716 ))",lane,blue
"POLYGON((120.1899967953894916 -23.383345512708954, 120.1899961102188480 -23.383337477063105, 120.1899933711557437 -23.383329080841760, 120.1899881870057317 -23.383320595027569, 120.1899809490309934 -23.383312741831732, 120.1899682339891676 -23.383303626133404, 120.1899490641619960 -23.383297853019437, 120.1899204076801371 -23.383295874806487, 120.1898684744482604 -23.383300042977577, 120.1898021646280305 -23.383311348187642, 120.1897821153476567 -23.383316951908877, 120.1897388762337153 -23.383169068647452, 120.1897731068223393 -23.383161113331593, 120.1898806892854298 -23.383145101249456, 120.1899593230761921 -23.383144988527369, 120.1900156585248553 -23.383156529621671, 120.1900622143032326 -23.383177644283090, 120.1901056412341677 -23.383211310195965, 120.1901325393822866 -23.383244439081868, 120.1901554287063581 -23.383293821374678, 120.1901628652740316 -23.383345465334465, 120.1899967953894916 -23.383345512708954 ))",lane,blue
"POLYGON((120.1043678893006719 -23.305539566424634, 120.1041642628772890 -23.305538179867188, 120.1040450408815457 -23.305540290555545, 120.1039216133469124 -23.305542402443609, 120.1039204306809920 -23.305410037125311, 120.1040436626707422 -23.305408828196547, 120.1041662100440400 -23.305407709753434, 120.1043704234407449 -23.305411353402229, 120.1043678893006719 -23.305539566424634 ))",lane,blue
"POLYGON((120.0415434723547109 -23.336768244426988, 120.0416132020983120 -23.336710167839117, 120.0417264527829466 -23.336630138280620, 120.0420708011884113 -23.336384179421071, 120.0421710578305037 -23.336506313666947, 120.0421547253561232 -23.336516069684075, 120.0417233363617046 -23.336824895458375, 120.0416823588957884 -23.336855515577196, 120.0416647554966632 -23.336872856346427, 120.0415434723547109 -23.336768244426988 ))",lane,blue
"POLYGON((120.0520886455367212 -23.335755248347658, 120.0520953951295506 -23.335772401589046, 120.0521061544331335 -23.335786303233928, 120.0521149572780248 -23.335794426854412, 120.0522297834117084 -23.335869786541863, 120.0521293481460402 -23.335996673137087, 120.0521177090197943 -23.335988730906408, 120.0520439619976497 -23.335939092250636, 120.0519887979586660 -23.335894865714832, 120.0519566180358779 -23.335855869462788, 120.0519318703827019 -23.335805494506231, 120.0520886455367212 -23.335755248347658 ))",lane,blue
"POLYGON((120.0960396258303650 -23.363972801612117, 120.0960252490080199 -23.363976507617792, 120.0959981585601157 -23.363991864705639, 120.0959564966009009 -23.364024381117111, 120.0958792366797770 -23.364092301501445, 120.0955018378023287 -23.364441200790251, 120.0954452137223360 -23.364499725091250, 120.0954367057649781 -23.364513271071065, 120.0952991885614858 -23.364427353885504, 120.0953080878487596 -23.364415523310738, 120.0953820216718803 -23.364336046710210, 120.0958309103692935 -23.363923472329629, 120.0959100290259288 -23.363862503772142, 120.0959590266830621 -23.363836666754057, 120.0960096877586577 -23.363822025265069, 120.0960396258303650 -23.363972801612117 ))",lane,blue
"POLYGON((120.1670465625455074 -23.383054372395196, 120.1670984075308749 -23.383190334875206, 120.1671137652857878 -23.383229155345379, 120.1671109336719553 -23.383297776820484, 120.1670940182513762 -23.383364325635163, 120.1670642903059408 -23.383426453877615, 120.1670233145826483 -23.383482626165486, 120.1669900637443173 -23.383515772209994, 120.1669534874483819 -23.383546752234708, 120.1668962747078625 -23.383578279888457, 120.1668285963751767 -23.383600330040775, 120.1667846736669579 -23.383467525463101, 120.1668613478155076 -23.383414954605668, 120.1668910780392850 -23.383386233792716, 120.1669151353493654 -23.383352729209424, 120.1669375288838378 -23.383302792256735, 120.1669452526481012 -23.383263333169672, 120.1669481850393236 -23.383238321905717, 120.1669497489796668 -23.383224958487514, 120.1669116950317547 -23.383100458948030, 120.1670465625455074 -23.383054372395196 ))",lane,blue
"POLYGON((120.1591495300418643 -23.365722864019420, 120.1595229200398461 -23.365389405524371, 120.1595341667093205 -23.365379109215952, 120.1596494842483343 -23.365489501419701, 120.1593396623904637 -23.365764885084590, 120.1592660211395884 -23.365832082113818, 120.1591495300418643 -23.365722864019420 ))",lane,blue
"POLYGON((120.2247997644695440 -23.365878577042308, 120.2249539881188300 -23.365701925119140, 120.2250863059197345 -23.365555707293560, 120.2251419514501820 -23.365489598882163, 120.2251666932166149 -23.365453656264120, 120.2251718761350907 -23.365444084008311, 120.2253195637784358 -23.365513926609955, 120.2252680265994164 -23.365589062884544, 120.2249392373928062 -23.365959437410266, 120.2249269151587398 -23.365973706800987, 120.2247997644695440 -23.365878577042308 ))",lane,blue
