WKT,label,fillColor
"POLYGON((120.0528274171072307 -23.338124256429574, 120.0528094185050081 -23.338083089163606, 120.0528002214176178 -23.338030542802522, 120.0528027607055121 -23.337977812512717, 120.0528377623652124 -23.337803361568256, 120.0530051056560426 -23.337832116452715, 120.0529660950245106 -23.338020653835683, 120.0529669760663944 -23.338032571910782, 120.0529699109145315 -23.338043586496477, 120.0529742148785773 -23.338052704594219, 120.0528274171072307 -23.338124256429574 ))",lane,green
"POLYGON((120.0735689262255634 -23.363740213231325, 120.0734498984384865 -23.363721827954432, 120.0733497470504181 -23.363708945004156, 120.0733630392625377 -23.363576575556633, 120.0734699388641150 -23.363586386709897, 120.0735537572236116 -23.363600899545801, 120.0735828049984404 -23.363604051421701, 120.0735689262255634 -23.363740213231325 ))",lane,green
"POLYGON((120.0917921703522711 -23.308645530366093, 120.0917391596592366 -23.308625862191685, 120.0916894734939967 -23.308594726194221, 120.0916504477638308 -23.308561871638989, 120.0915841327957796 -23.308497694116455, 120.0915709284853389 -23.308484876653277, 120.0916942509691517 -23.308376493051163, 120.0917991031192025 -23.308480387335031, 120.0918211097018702 -23.308492931416143, 120.0918387146588887 -23.308498434105462, 120.0917921703522711 -23.308645530366093 ))",lane,green
"POLYGON((120.1187837537531605 -23.373811212225484, 120.1188672811229358 -23.373861209252639, 120.1188800938756264 -23.373868970567817, 120.1189105119671117 -23.373887832574014, 120.1189526651038226 -23.373887007935891, 120.1190123275926141 -23.373923919669937, 120.1190281723562729 -23.373933305346510, 120.1189366372522692 -23.374061182596669, 120.1189282258235014 -23.374056038446133, 120.1188613256124365 -23.374014975420600, 120.1188461637349217 -23.373980127670026, 120.1188150610331417 -23.373961446439830, 120.1188022482866088 -23.373953775415002, 120.1187187209106759 -23.373903688097497, 120.1187837537531605 -23.373811212225484 ))",lane,green
"POLYGON((120.1253007031780623 -23.313970415713000, 120.1249314030830963 -23.314042392182642, 120.1248442610147768 -23.314051355786343, 120.1247827425060111 -23.314047310269800, 120.1247375566317256 -23.314035856285228, 120.1247966200165636 -23.313892638938426, 120.1248116820218676 -23.313897149159300, 120.1248455220441282 -23.313898674441791, 120.1248955969345850 -23.313893333026254, 120.1251019591328706 -23.313854900758145, 120.1252643101732248 -23.313820814981913, 120.1253007031780623 -23.313970415713000 ))",lane,green
"POLYGON((120.1005174047790199 -23.366192576606184, 120.1005345201225934 -23.366189321271054, 120.1005582857286614 -23.366180827198413, 120.1006696771913278 -23.366086712875419, 120.1007840171106063 -23.366203154811620, 120.1007696408362948 -23.366214896658445, 120.1006986397615419 -23.366274598835319, 120.1006561951794413 -23.366304226178792, 120.1006103269978339 -23.366326721561122, 120.1005437241681633 -23.366343895727638, 120.1005174047790199 -23.366192576606184 ))",lane,green
"POLYGON((120.1214995407033093 -23.373617757886664, 120.1214128901203698 -23.373662927781214, 120.1213976333583657 -23.373670877684441, 120.1213702494207216 -23.373685061081439, 120.1213524515727804 -23.373719376492269, 120.1212817424114010 -23.373757138030392, 120.1212725492772419 -23.373762558074008, 120.1211882338966100 -23.373630667922605, 120.1212694075787193 -23.373586673365014, 120.1213118543714274 -23.373589460257190, 120.1213389448747508 -23.373574915782493, 120.1213542016367549 -23.373566965879266, 120.1214408522135367 -23.373521705694366, 120.1214995407033093 -23.373617757886664 ))",lane,green
"POLYGON((120.1206623635706560 -23.373889499794569, 120.1203759182734371 -23.374188171701617, 120.1203261402594447 -23.374244346500503, 120.1203086350637987 -23.374267556114584, 120.1202994424776732 -23.374281011999350, 120.1201568400234661 -23.374202680653998, 120.1201652502453284 -23.374190127895933, 120.1202179617035066 -23.374124381482941, 120.1205379509531779 -23.373788229510885, 120.1206623635706560 -23.373889499794569 ))",lane,green
"POLYGON((120.0998384216457265 -23.367141360734164, 120.0997713304710931 -23.367168376688331, 120.0994408626488638 -23.367304719101155, 120.0993759225233646 -23.367322615116168, 120.0993193925519933 -23.367326965179266, 120.0992695124798133 -23.367320749374203, 120.0993094060497950 -23.367171939494134, 120.0993281844854738 -23.367175094299551, 120.0993581118797623 -23.367169307179699, 120.0993918532736636 -23.367158733583190, 120.0997717102676725 -23.367000978267830, 120.0998384216457265 -23.367141360734164 ))",lane,green
"POLYGON((120.0744087587491862 -23.365118165582865, 120.0744104222538562 -23.365130625176862, 120.0744153131419625 -23.365141278043154, 120.0744253877367279 -23.365153915818436, 120.0744439712802377 -23.365167544360254, 120.0744664668236362 -23.365179275688715, 120.0744967866008040 -23.365190643623762, 120.0745394294864289 -23.365200563397788, 120.0746192377041344 -23.365212007505699, 120.0747755284048454 -23.365228666635978, 120.0749264396384954 -23.365241083654315, 120.0750168100200612 -23.365243947165758, 120.0750299154681507 -23.365241234716636, 120.0750440095520670 -23.365394001971211, 120.0749534438472945 -23.365395291871668, 120.0747465889259350 -23.365379369488578, 120.0745192923782684 -23.365352437513923, 120.0744372341628700 -23.365333319367966, 120.0743735624682548 -23.365307063039126, 120.0743234850162027 -23.365274843669063, 120.0742877844727032 -23.365240182358226, 120.0742599075718356 -23.365196489780374, 120.0742468971252312 -23.365158120092347, 120.0742426887538079 -23.365116587731054, 120.0744087587491862 -23.365118165582865 ))",lane,green
"POLYGON((120.1255690103946436 -23.313019491479083, 120.1255900416974947 -23.313072395625647, 120.1255965002143952 -23.313123768993385, 120.1255922984994251 -23.313179840500443, 120.1255769493652657 -23.313267426520269, 120.1255740164567981 -23.313284853394824, 120.1254058910049081 -23.313259981218617, 120.1254305281700313 -23.313124358082074, 120.1254292558413352 -23.313111356634376, 120.1254256362474345 -23.313098536436982, 120.1254206475684135 -23.313088064179291, 120.1255690103946436 -23.313019491479083 ))",lane,green
"POLYGON((120.1752685019068787 -23.374638501088054, 120.1752532735687302 -23.375063231246880, 120.1752603218360668 -23.375157582653818, 120.1751296570040401 -23.375161773284545, 120.1751261332798576 -23.375120601889351, 120.1751435091080008 -23.374634563969071, 120.1752685019068787 -23.374638501088054 ))",lane,green
"POLYGON((120.1362958670548146 -23.384633113232946, 120.1362808120692669 -23.384731534011073, 120.1362502040240727 -23.384795558601976, 120.1362041424712435 -23.384850829437156, 120.1361468328696193 -23.384896171542355, 120.1360808180354458 -23.384930590998320, 120.1360089341207662 -23.384952010317895, 120.1359335283661544 -23.384959887089376, 120.1358600777463329 -23.384954129460004, 120.1357804641929622 -23.384928870872742, 120.1357449605675087 -23.384913441350654, 120.1356900917793617 -23.384896211545799, 120.1357489606722799 -23.384769336808147, 120.1357926795412191 -23.384781423243671, 120.1359031006871598 -23.384800443008229, 120.1359324416992636 -23.384801066670628, 120.1359732253382895 -23.384796540518757, 120.1360126392333233 -23.384784701239139, 120.1360486295473233 -23.384766000869426, 120.1360799248690880 -23.384740891224072, 120.1361134685813908 -23.384699889835413, 120.1361424144027127 -23.384642186043313, 120.1361518022443104 -23.384623583552797, 120.1362958670548146 -23.384633113232946 ))",lane,green
"POLYGON((120.2293800687588614 -23.368502372113247, 120.2296411127287991 -23.368607124744043, 120.2296459051671189 -23.368608297151485, 120.2298511020641446 -23.368692118352078, 120.2297911572125428 -23.368817187589632, 120.2295857647090571 -23.368733366444839, 120.2295814612191528 -23.368731200704047, 120.2293184612092458 -23.368626809792654, 120.2293800687588614 -23.368502372113247 ))",lane,green
"POLYGON((120.0815057663707866 -23.409778895559785, 120.0819106709794341 -23.409767584049681, 120.0819075524030037 -23.409930739604936, 120.0815077329096020 -23.409932478887131, 120.0815057663707866 -23.409778895559785 ))",lane,green
"POLYGON((120.1002528887578107 -23.371106614168244, 120.1002944603707472 -23.371183439398522, 120.1004153600769306 -23.371402088141612, 120.1004820686224513 -23.371500937046946, 120.1005481887660679 -23.371576581499731, 120.1006385645787084 -23.371659081099874, 120.1007713881261821 -23.371758182015743, 120.1010470098636343 -23.371937510318514, 120.1009864806187788 -23.372098154121369, 120.1008185466353872 -23.372012606774161, 120.1006418077935426 -23.371889410862018, 120.1005538777205240 -23.371816571631821, 120.1004307364403554 -23.371713766049485, 120.1003507269141773 -23.371618713133274, 120.1002658246033271 -23.371485197922972, 120.1001084375989545 -23.371168413976195, 120.1002528887578107 -23.371106614168244 ))",lane,green
"POLYGON((120.1580481775500668 -23.385942438411437, 120.1581589861958458 -23.385907012983344, 120.1582877903896376 -23.385867970807620, 120.1583355274669301 -23.386001406329638, 120.1582068211071567 -23.386040899929211, 120.1580940559534246 -23.386069825010107, 120.1580481775500668 -23.385942438411437 ))",lane,green
