featureId,feature,featureColor,featureLayer,featureWeight
12115239709,"-23.366340120803110,120.1691658945268074;-23.366351678386413,120.1691644282665406;-23.366409105197326,120.1691569013341157;-23.366448736969341,120.1691768558962577;-23.366478081946895,120.1691747062264440;-23.366673832904404,120.1691695360051064;-23.366688640549704,120.1691694392117361;-23.366688687924193,120.1690033693271961;-23.366524719086183,120.1690088351257274;-23.366509640458232,120.1690093231135447;-23.366493297765381,120.1690098110151544;-23.366429281293428,120.1690119583204186;-23.366398665331732,120.1690383631050647;-23.366388191316330,120.1690395360295337;-23.366377175503027,120.1690409045235167;-23.366327243125966,120.1690472583282691;-23.366340120803110,120.1691658945268074",blue,Jimblebar Lanes,1
12115230854,"-23.371744178564033,120.1191585903753471;-23.371757626636751,120.1191767826936215;-23.371810350342115,120.1191973249680072;-23.371881496124697,120.1192078925690999;-23.372005916980301,120.1192052603671743;-23.372104337674727,120.1191904987913166;-23.372184703396072,120.1191648798253927;-23.372236718505520,120.1191373028613569;-23.372282326069136,120.1190989671048258;-23.372312313960206,120.1190586742184159;-23.372336075639450,120.1190049818646160;-23.372346021807036,120.1189551028946609;-23.372345405398682,120.1189003330427572;-23.372331517424884,120.1188416501564743;-23.372310221513160,120.1187974416433016;-23.372278180156982,120.1187563621007248;-23.372222303766613,120.1187096083451803;-23.372133563837157,120.1186553214995299;-23.372122370093671,120.1186473986743474;-23.372044046258865,120.1187949784097080;-23.372165646016685,120.1188698061750543;-23.372177380442064,120.1188814455599228;-23.372186495833490,120.1188952364372786;-23.372192720650309,120.1189135260661686;-23.372194430252123,120.1189342604679245;-23.372191174526390,120.1189527450567180;-23.372183675628511,120.1189695667011905;-23.372173107779438,120.1189831606297118;-23.372159741627018,120.1189943092865950;-23.372137616892146,120.1190069243946332;-23.372102941519623,120.1190205166790537;-23.372061224392604,120.1190309787798151;-23.372014271318092,120.1190383108200709;-23.371954768721934,120.1190427079075092;-23.371888947056784,120.1190427034185597;-23.371856263066091,120.1190387890602792;-23.371842810919948,120.1190348760135847;-23.371815724568252,120.1190322334790704;-23.371744178564033,120.1191585903753471",blue,Jimblebar Lanes,1
12115215194,"-23.368166951838481,120.1609844853558774;-23.368093111239684,120.1609252115615144;-23.368083271823548,120.1609173866319271;-23.368053392274238,120.1608944008346847;-23.368041124058306,120.1608548874923201;-23.367987411874221,120.1608178164043299;-23.367953377322701,120.1608006007144042;-23.367894464322834,120.1609537565577762;-23.367912700378819,120.1609628535020177;-23.367930484620351,120.1609732218574609;-23.367951517612572,120.1609895564316106;-23.367987995025573,120.1609891677063937;-23.368017693659381,120.1610133271300807;-23.368027442757267,120.1610212498567403;-23.368101283356064,120.1610805236511033;-23.368166951838481,120.1609844853558774",blue,Jimblebar Lanes,1
12115215154,"-23.368033047923911,120.1606796235499688;-23.367913970381055,120.1606255302417976;-23.367903950802721,120.1606162382514450;-23.367896821240992,120.1606044035741582;-23.367893845760767,120.1605900262961447;-23.367894302708850,120.1605707590906231;-23.367899547947101,120.1605413206755386;-23.367912562033576,120.1604982881410447;-23.367954306223759,120.1603929569071833;-23.367968940905106,120.1603661598197076;-23.367980682528729,120.1603525659712362;-23.367990706515290,120.1603464050512487;-23.368027458314762,120.1603336931375249;-23.368040739896366,120.1603024948123340;-23.368150543843033,120.1602643590403741;-23.368162914402188,120.1602616213935364;-23.368130532726036,120.1601474828135189;-23.368118522965579,120.1601514919269774;-23.368007545523364,120.1601886495865874;-23.367979740978094,120.1601715321247717;-23.367925831891709,120.1601916759140161;-23.367881671512608,120.1602211116751401;-23.367848614865645,120.1602574922229888;-23.367815733051946,120.1603140202485330;-23.367758537382241,120.1604608189989509;-23.367740186316356,120.1605383757103316;-23.367737639577143,120.1606036102923266;-23.367745842718512,120.1606501651901556;-23.367765241723780,120.1606972098676870;-23.367795025737508,120.1607385826660117;-23.367834473218101,120.1607715450454283;-23.367971786342638,120.1608363979527511;-23.368033047923911,120.1606796235499688",blue,Jimblebar Lanes,1
12114537850,"-23.385464112293417,120.1899029509692886;-23.385440140956097,120.1897420630179955;-23.385421375434088,120.1896899326156078;-23.385389787119969,120.1896432783197095;-23.385345014405938,120.1896036649573497;-23.385262321949020,120.1895563225535939;-23.385195243249813,120.1895316715644769;-23.385137730556777,120.1895237455804041;-23.385075881946028,120.1895227633300926;-23.385056642735833,120.1895485820712266;-23.384981429841977,120.1895521956613883;-23.384986632644070,120.1896715159591338;-23.384999996118073,120.1896697564123306;-23.385059497960926,120.1896680000121024;-23.385077549027983,120.1896925498543686;-23.385137411223131,120.1896936297724411;-23.385158267429076,120.1896966630949954;-23.385187518740359,120.1897063476098540;-23.385224622856877,120.1897246393446709;-23.385261454846838,120.1897473322063648;-23.385276890618564,120.1897609279082982;-23.385284200900495,120.1897722735817504;-23.385289252584467,120.1897883136563005;-23.385308715319123,120.1899284670149496;-23.385464112293417,120.1899029509692886",blue,Jimblebar Lanes,1
12114619561,"-23.383644286460621,120.1931514590104849;-23.383618736160882,120.1931449044514511;-23.383571060121865,120.1931544859167356;-23.383520942421076,120.1931774662582726;-23.383474523304515,120.1932120854366446;-23.383426022320474,120.1932648958741699;-23.383383656811506,120.1933326706246075;-23.383335139505865,120.1934426959516828;-23.383317427335872,120.1934961931115873;-23.383475690779027,120.1935506803051121;-23.383481564980709,120.1935320002884314;-23.383492589638366,120.1934996281705385;-23.383523760064639,120.1934286251499584;-23.383545892248856,120.1933898965795102;-23.383565582575999,120.1933652515079247;-23.383585813222333,120.1933455944380152;-23.383604055416355,120.1933331746716568;-23.383637557656032,120.1933173328328965;-23.383644286460621,120.1931514590104849",blue,Jimblebar Lanes,1
12114613217,"-23.384808811489580,120.1879107522480238;-23.384780370950036,120.1879075228017643;-23.384710490822664,120.1878913805027692;-23.384585358469525,120.1878560650021933;-23.384397751415925,120.1877989351202122;-23.384277134975294,120.1877587297660204;-23.384230640941378,120.1877394593585047;-23.384202564939154,120.1877243957460459;-23.384178913861584,120.1877068873545635;-23.384161944186214,120.1876896728284395;-23.384153822183940,120.1876751973962082;-23.384149854876973,120.1876560276921902;-23.383996540969867,120.1876591469398079;-23.384000592847649,120.1876983663121335;-23.384014935565417,120.1877455084480648;-23.384042911902834,120.1877934339396459;-23.384082627631861,120.1878355898411555;-23.384130922952950,120.1878707044950849;-23.384203686903088,120.1879060164242058;-23.384413862777666,120.1879763512816571;-23.384705837887021,120.1880600907604775;-23.384797568251192,120.1880763323528614;-23.384808811489580,120.1879107522480238",blue,Jimblebar Lanes,1
12114746973,"-23.364491408445632,120.2148043751725050;-23.364174222704008,120.2141564071295063;-23.364057006411190,120.2142244701849164;-23.364373740840564,120.2148719491809767;-23.364491408445632,120.2148043751725050",blue,Jimblebar Lanes,1
12114722467,"-23.307887562656356,120.1062822542856724;-23.307907634846825,120.1061850392420576;-23.307911161080905,120.1061678261137272;-23.307917128781457,120.1061378987317541;-23.307945035893152,120.1061119827785275;-23.307959772471320,120.1060444995535295;-23.307966368577300,120.1060272866345603;-23.307821106526042,120.1059742673761915;-23.307795887088119,120.1060739271495685;-23.307810052126804,120.1061108977372644;-23.307803632723401,120.1061417053175191;-23.307800016171071,120.1061590162429219;-23.307779943980602,120.1062562312865367;-23.307887562656356,120.1062822542856724",blue,Jimblebar Lanes,1
12114765263,"-23.338202054564879,120.0526236004776740;-23.338097196136638,120.0527334263558964;-23.337714793631648,120.0531300901851550;-23.337653826692371,120.0532035362544503;-23.337773883451091,120.0533066290485861;-23.337779483601104,120.0532990985816523;-23.337802967601656,120.0532692701974993;-23.337883170207807,120.0531824263972801;-23.338307298712069,120.0527441990401200;-23.338202054564879,120.0526236004776740",blue,Jimblebar Lanes,1
