WKT,label,fillColor
"POLYGON((119.703185446 -23.356544192,119.694148328 -23.363468417,119.691620102 -23.364385266,119.688934373 -23.365637058,119.687841896 -23.366207364,119.687386132 -23.365528438,119.6833627 -23.36692952,119.683309373 -23.366794078,119.682905684 -23.366844363,119.682287725 -23.367191745,119.681832695 -23.367465129,119.681310553 -23.367134347,119.681165652 -23.366970619,119.681074054 -23.367040679,119.681252266 -23.367251186,119.681493582 -23.367363315,119.682327835 -23.368754677,119.681488493 -23.36921523,119.679052137 -23.369478989,119.679025037 -23.369543882,119.67904844 -23.369615234,119.678964428 -23.370615804,119.678739476 -23.371170645,119.678572211 -23.371471644,119.678361143 -23.371686314,119.678420113 -23.371942003,119.678267197 -23.372160847,119.678143205 -23.372286637,119.677724021 -23.372331017,119.676748796 -23.371710562,119.676572651 -23.371477404,119.676278741 -23.371267045,119.675749517 -23.371547143,119.675713079 -23.371723582,119.677446104 -23.37272161,119.677293458 -23.373166408,119.677005011 -23.373159828,119.674814939 -23.372601516,119.674035163 -23.372369795,119.673705378 -23.372466104,119.673612543 -23.372096262,119.673332677 -23.372145562,119.67334798 -23.371736228,119.67350831 -23.371391644,119.679438756 -23.364539626,119.689819268 -23.358857901,119.695569614 -23.355916768,119.694743988 -23.352150274,119.695999747 -23.351999508,119.6959998 -23.351206329,119.700053288 -23.351259637,119.699946135 -23.348478444,119.705424366 -23.348467605,119.705404815 -23.352606012,119.70489297 -23.352772372,119.704360916 -23.354764966,119.703698397 -23.354714721,119.703458645 -23.355390003,119.703143312 -23.355893269,119.7031363 -23.356198635,119.703247301 -23.356337073,119.70310019 -23.356413819,119.703185446 -23.356544192,119.703185446 -23.356544192))",AOZ_WB_ROM,#6ad508
"POLYGON((119.802693395 -23.312833752,119.802766154 -23.31271703,119.802897934 -23.312648378,119.803096368 -23.312605914,119.803391393 -23.312620403,119.80419217 -23.312769843,119.80656983 -23.313114378,119.807559105 -23.313248907,119.808392391 -23.313372692,119.808874287 -23.313442969,119.808941269 -23.313486678,119.808994551 -23.313584552,119.808863216 -23.314562433,119.808864453 -23.314715155,119.8088328 -23.314828506,119.808785678 -23.314879872,119.808761891 -23.314914177,119.808809649 -23.315006407,119.808822114 -23.31506548,119.808796893 -23.31512813,119.808736496 -23.315155366,119.808386255 -23.315115144,119.808143378 -23.315108933,119.807478806 -23.315026612,119.80654532 -23.314929922,119.803944472 -23.314682197,119.803613367 -23.314613592,119.803574734 -23.314613911,119.80352511 -23.314628862,119.803444851 -23.314678333,119.803271776 -23.31478151,119.803150829 -23.314863253,119.803023244 -23.314975648,119.802906224 -23.314864254,119.803104516 -23.314730848,119.803150091 -23.314666917,119.803196559 -23.314410094,119.80256558 -23.3140778,119.802301443 -23.31382027,119.802358668 -23.313638039,119.802589932 -23.313088126,119.802693395 -23.312833752,119.802693395 -23.312833752))",AOZ_East_Calpad,#4a4d48
"POLYGON((119.604928283 -23.412775999,119.604763896 -23.412657448,119.604696611 -23.412072066,119.604715263 -23.411840937,119.604827373 -23.410198772,119.604899483 -23.409641972,119.605409705 -23.409226619,119.605362313 -23.408924244,119.603750809 -23.408973875,119.603757407 -23.416364501,119.599305637 -23.416326483,119.59939385 -23.417848443,119.597701556 -23.418484154,119.593200675 -23.419926977,119.591491142 -23.416032405,119.592061093 -23.412725588,119.587930838 -23.410543539,119.587899438 -23.409097086,119.585539685 -23.407783053,119.583480014 -23.406678346,119.583380809 -23.40668224,119.584729069 -23.408789392,119.58438023 -23.408979648,119.58359037 -23.40796171,119.583005136 -23.406908492,119.579417588 -23.406618554,119.576929721 -23.406070384,119.576792062 -23.406065748,119.568984943 -23.406150303,119.568652519 -23.404873902,119.570412421 -23.404926708,119.569759221 -23.402574846,119.56727838 -23.402677496,119.567035264 -23.399015598,119.569161337 -23.398971486,119.571875063 -23.400206925,119.571890223 -23.403558756,119.578086762 -23.402571988,119.579776119 -23.401819575,119.578117375 -23.400347758,119.574780785 -23.3996848,119.574758495 -23.398726266,119.578718033 -23.398956631,119.581170947 -23.401019984,119.583672311 -23.40178085,119.584960044 -23.400534811,119.585539598 -23.401482412,119.585526246 -23.401998778,119.586734186 -23.402102927,119.586388314 -23.403502799,119.595123899 -23.406732041,119.602277064 -23.408272261,119.61732966 -23.40819686,119.620533642 -23.408954742,119.625277083 -23.407775957,119.625860294 -23.409549369,119.625071088 -23.409417904,119.624873717 -23.409919415,119.625868111 -23.410199202,119.627784534 -23.410279464,119.627633815 -23.410972264,119.627396147 -23.410995266,119.626175222 -23.410973734,119.61710781 -23.408850433,119.609848085 -23.408997667,119.608015769 -23.409055806,119.606057604 -23.408973581,119.605630429 -23.409653307,119.60594972 -23.410166675,119.605945387 -23.410329557,119.60726425 -23.410314584,119.607313861 -23.410865054,119.606379656 -23.410814687,119.606004995 -23.4106435,119.60577734 -23.410736842,119.60575098 -23.410987325,119.605936375 -23.411001469,119.605929617 -23.411449435,119.607181025 -23.411463627,119.607186639 -23.412470251,119.607396169 -23.412316435,119.608077757 -23.412335047,119.60813311 -23.412728969,119.607920413 -23.412961236,119.60519817 -23.412918523,119.604928283 -23.412775999,119.604928283 -23.412775999))",AOZ_WR,#2f6e8d
"POLYGON((119.796144644 -23.32108172,119.795805875 -23.323166458,119.794991087 -23.32317946,119.795370271 -23.320751606,119.797234777 -23.316690806,119.797219448 -23.31623047,119.797468674 -23.315747982,119.80024675 -23.313631692,119.800064684 -23.313436236,119.800187158 -23.313315943,119.800453423 -23.313437666,119.801237213 -23.312721904,119.800470623 -23.311672637,119.800907032 -23.311446063,119.801904587 -23.311084053,119.800494989 -23.310404813,119.797682121 -23.30909208,119.79651799 -23.308530873,119.794564463 -23.30765668,119.794378701 -23.307671793,119.794218754 -23.307612881,119.794110411 -23.307270368,119.792522106 -23.306796307,119.792388471 -23.306736886,119.792318542 -23.30683295,119.792517515 -23.306912677,119.792454325 -23.307041668,119.791872731 -23.306880005,119.791795245 -23.306585243,119.791102817 -23.306352061,119.791224847 -23.306014121,119.791087737 -23.305971109,119.790327638 -23.305726632,119.789905783 -23.305604011,119.789713379 -23.305533097,119.789641215 -23.305287054,119.790146345 -23.304808534,119.790533391 -23.304313164,119.790010832 -23.304166067,119.788078263 -23.305406345,119.778583644 -23.304019483,119.771142514 -23.302962792,119.771833444 -23.298134172,119.767262586 -23.297177656,119.767919137 -23.293493237,119.778085248 -23.293645599,119.778272916 -23.293412407,119.786179243 -23.293419414,119.797698885 -23.299489446,119.797568319 -23.299723914,119.798672416 -23.300304774,119.802685 -23.301733329,119.805971694 -23.30112136,119.815005443 -23.301852826,119.825989785 -23.304958847,119.832042641 -23.308655938,119.832738654 -23.310148319,119.831748114 -23.314450454,119.835263058 -23.314999802,119.835221495 -23.31542527,119.830712024 -23.315089309,119.827119045 -23.315358336,119.811358192 -23.315028751,119.810427862 -23.313460691,119.802818795 -23.312405801,119.802534948 -23.312930815,119.802130969 -23.312927545,119.801877104 -23.313744498,119.802282781 -23.313839716,119.802732011 -23.314846498,119.803218438 -23.315370792,119.802497895 -23.315908888,119.80110975 -23.315992025,119.79917841 -23.31542786,119.796144644 -23.32108172,119.796144644 -23.32108172))",AOZ_OB24,#89bbb9
"POLYGON((119.660547123 -23.374917952,119.667103862 -23.375345981,119.667186562 -23.374488178,119.66941912 -23.374158832,119.670511035 -23.373500651,119.671182852 -23.372933081,119.671523906 -23.372589509,119.671624389 -23.372680631,119.672088658 -23.372508648,119.673340049 -23.373609974,119.67213741 -23.374280533,119.672799155 -23.375234399,119.674392027 -23.375200873,119.676831037 -23.37418017,119.677416033 -23.374269614,119.677844037 -23.374797951,119.677548035 -23.375326027,119.676267077 -23.375600763,119.673017755 -23.375924048,119.67087756 -23.376855506,119.670924898 -23.377653313,119.677671008 -23.375949609,119.678274286 -23.377412342,119.674077296 -23.378320108,119.674721902 -23.380213043,119.675221032 -23.380153326,119.676817299 -23.380101585,119.678703251 -23.379858025,119.680904236 -23.37922896,119.681795928 -23.380106118,119.681642322 -23.380219115,119.682096982 -23.380752184,119.683319004 -23.381111839,119.684105328 -23.381376034,119.686431059 -23.381039314,119.688485113 -23.380456742,119.691243799 -23.378673082,119.693210767 -23.377105805,119.690760054 -23.375196716,119.693624004 -23.370653539,119.703565264 -23.36466717,119.704210807 -23.365851553,119.701349935 -23.368793585,119.700702404 -23.368325513,119.697925089 -23.36970995,119.697859592 -23.369930314,119.697073775 -23.369802489,119.6958338 -23.370012896,119.695227588 -23.370050434,119.694417459 -23.371301693,119.701195525 -23.377879353,119.699732343 -23.379305943,119.695265064 -23.376560713,119.694388563 -23.377648699,119.695852037 -23.383553894,119.69408066 -23.382961853,119.691004112 -23.37949042,119.688839564 -23.380805041,119.687374576 -23.381342801,119.685689231 -23.382009815,119.681831922 -23.382414784,119.681836188 -23.382216682,119.682798414 -23.382133891,119.683240268 -23.381538361,119.682725117 -23.381287469,119.682062672 -23.3813036,119.681409442 -23.381562104,119.680653795 -23.381620649,119.680493328 -23.381543852,119.680349493 -23.382200495,119.680333955 -23.382720636,119.674129146 -23.382361922,119.673190925 -23.384238253,119.670198113 -23.38346745,119.66643712 -23.385257537,119.664522014 -23.383735872,119.66669064 -23.381264523,119.664567213 -23.379860831,119.660866754 -23.379320908,119.650407345 -23.37739125,119.650658835 -23.376470875,119.654433108 -23.374608558,119.660547123 -23.374917952,119.660547123 -23.374917952))",AOZ_OB29,#8fd753
"POLYGON((119.700816077 -23.342411248,119.702563023 -23.341607192,119.703399733 -23.343018442,119.703103604 -23.343102831,119.702988468 -23.342903492,119.701490107 -23.343571477,119.700816077 -23.342411248,119.700816077 -23.342411248))",AOZ_WESTRAC_BUILDPAD,#9d22f9
"POLYGON((119.795005673 -23.322752329,119.795813828 -23.322801315,119.797525046 -23.324597042,119.797614678 -23.326283826,119.797731041 -23.32631773,119.797937906 -23.326443308,119.797386349 -23.327142256,119.795551567 -23.326798322,119.797411166 -23.328251535,119.798156311 -23.329420739,119.799990396 -23.333692544,119.800159392 -23.335405889,119.799810536 -23.335587385,119.799499752 -23.33581904,119.799475671 -23.336087513,119.799351964 -23.336203641,119.799255944 -23.336244135,119.799118054 -23.336211411,119.798933936 -23.336058293,119.798743544 -23.336247303,119.79489843 -23.333942034,119.791305664 -23.334507094,119.789406842 -23.332692781,119.789542148 -23.331942509,119.788937238 -23.329561146,119.783368745 -23.329443558,119.783330246 -23.326343409,119.790409044 -23.327004777,119.793858982 -23.328104119,119.794865112 -23.326830425,119.795005673 -23.322752329,119.795005673 -23.322752329))",AOZ_OB25,#75994c
"POLYGON((119.647886669 -23.352512001,119.647960528 -23.352414072,119.648052414 -23.352333809,119.648174516 -23.352264718,119.648448518 -23.352193695,119.64862449 -23.352179677,119.649053423 -23.352181252,119.649610637 -23.352175738,119.649875394 -23.352195491,119.650201426 -23.352209418,119.651326989 -23.352199834,119.651375293 -23.352030536,119.651310744 -23.351636991,119.651398847 -23.351553446,119.651577705 -23.351523376,119.651643344 -23.35140461,119.65189043 -23.351389,119.652084448 -23.351369528,119.652247486 -23.351390084,119.65231518 -23.351377537,119.652477083 -23.351042809,119.652782237 -23.351030017,119.653090272 -23.351065473,119.653572519 -23.351086896,119.65423659 -23.351042872,119.654328847 -23.351060687,119.654370371 -23.351107622,119.654393158 -23.351171565,119.654395692 -23.351438537,119.654380265 -23.352329576,119.654384707 -23.352495418,119.654393739 -23.352725687,119.654398576 -23.352923051,119.654417471 -23.352974047,119.654384884 -23.35304007,119.654410313 -23.353114509,119.654396931 -23.35318719,119.654359076 -23.353241068,119.654245873 -23.353299665,119.654157844 -23.353311325,119.653957598 -23.35328496,119.653768428 -23.353287763,119.652623022 -23.35330694,119.652047487 -23.353337321,119.651035584 -23.353334369,119.650849381 -23.353354897,119.649997641 -23.353334277,119.649619726 -23.353357588,119.649064037 -23.35333557,119.648431331 -23.353372082,119.64831827 -23.353361955,119.648176267 -23.353319173,119.648071544 -23.353242557,119.648002152 -23.3531525,119.647915084 -23.353048934,119.647873353 -23.352971292,119.647846857 -23.352864062,119.647846477 -23.352777724,119.647860491 -23.35264689,119.647886669 -23.352512001,119.647886669 -23.352512001))",AOZ_NWW_NorthCalPad,#abb530
"POLYGON((119.679472375 -23.364574125,119.673425118 -23.37170705,119.67341506 -23.372131057,119.671561222 -23.372626205,119.67060875 -23.373563032,119.669488693 -23.374218547,119.667284108 -23.374547668,119.667293375 -23.375444145,119.663188123 -23.375298123,119.654369863 -23.374764822,119.653763018 -23.373232523,119.649915492 -23.371562193,119.658482898 -23.355101566,119.674671895 -23.353496778,119.674746283 -23.354692613,119.694780854 -23.352150662,119.695638036 -23.355952723,119.689366479 -23.359228023,119.679472375 -23.364574125,119.679472375 -23.364574125))",AOZ_WB_ACS3,#c395d6
"POLYGON((119.639088246 -23.391267283,119.634587059 -23.392115694,119.632105704 -23.390390767,119.632665017 -23.386187733,119.630922139 -23.384846544,119.616833828 -23.377017374,119.622263742 -23.368345202,119.632201286 -23.369977675,119.63215984 -23.373518967,119.641584809 -23.376993287,119.643245624 -23.379452824,119.644996803 -23.37917783,119.646751317 -23.37989147,119.649415459 -23.377008713,119.64977109 -23.376164588,119.650675637 -23.376472998,119.650470043 -23.377379656,119.664592493 -23.379791769,119.666881143 -23.381297583,119.664692045 -23.383687217,119.66817918 -23.386325898,119.665936968 -23.390780999,119.656832551 -23.393801277,119.656917681 -23.397414485,119.65663771 -23.399401263,119.657941288 -23.400325825,119.657722285 -23.401840151,119.653176402 -23.403582525,119.653420048 -23.403749761,119.654534248 -23.403657002,119.656551874 -23.402781626,119.657325812 -23.402563113,119.657952952 -23.402238382,119.658771218 -23.4000273,119.661564331 -23.400733542,119.661715166 -23.402018046,119.659698763 -23.403154062,119.659154553 -23.407639884,119.627521084 -23.410947511,119.627723715 -23.410278159,119.627783059 -23.410099377,119.634098791 -23.408710978,119.641213374 -23.407713398,119.648001161 -23.404986476,119.64714806 -23.400048819,119.647180138 -23.399484832,119.644131447 -23.397036548,119.643921418 -23.396840234,119.644249327 -23.395713671,119.643820344 -23.395515313,119.643515733 -23.395075303,119.642273251 -23.395185989,119.642309201 -23.396073561,119.64178665 -23.396117104,119.639088246 -23.391267283,119.639088246 -23.391267283))",AOZ_OB35,#b894e9
