WKT,label,fillColor
"POLYGON((119.777575816 -23.301061851, 119.777544071 -23.301206539, 119.777524704 -23.301249369, 119.777494996 -23.301289406, 119.777448953 -23.301329763, 119.777375202 -23.301373507, 119.777252539 -23.301429138, 119.777170455 -23.30145376, 119.777126555 -23.301463068, 119.777111785 -23.301441997, 119.777033628 -23.301454368, 119.77702462 -23.30145547, 119.776926019 -23.301468218, 119.776909514 -23.301359262, 119.776922928 -23.301357565, 119.777050023 -23.301341164, 119.777088033 -23.301334157, 119.777091578 -23.301310254, 119.77715195 -23.301296383, 119.777185005 -23.301285904, 119.777251675 -23.301257093, 119.77731446 -23.301225452, 119.777346233 -23.30120548, 119.777365751 -23.30118866, 119.777376949 -23.301172766, 119.777383854 -23.301155663, 119.77740905 -23.301031964, 119.777575816 -23.301061851))",lane,green
"POLYGON((119.777753069 -23.301536322, 119.777877541 -23.301581761, 119.777997924 -23.30162518, 119.778052399 -23.301657048, 119.778092629 -23.301695845, 119.778122517 -23.301742596, 119.778141582 -23.301796394, 119.778147308 -23.301843852, 119.778141859 -23.301894019, 119.778122716 -23.301944437, 119.778115561 -23.301956751, 119.777972307 -23.301879913, 119.777976869 -23.301872997, 119.777981528 -23.301855605, 119.777981678 -23.30183926, 119.777978042 -23.301819814, 119.777968076 -23.301797518, 119.777955798 -23.301781976, 119.777942498 -23.301771302, 119.777917676 -23.301758548, 119.777692104 -23.301678515, 119.777753069 -23.301536322))",lane,green
"POLYGON((119.777858688 -23.301440998, 119.777895414 -23.30147796, 119.778042143 -23.301623732, 119.778092333 -23.301685457, 119.778126653 -23.301750125, 119.778143171 -23.301804444, 119.77814697 -23.301859292, 119.778138212 -23.301907717, 119.778115561 -23.301956751, 119.777972307 -23.301879913, 119.777977165 -23.301872728, 119.777981825 -23.301855156, 119.777981513 -23.301835917, 119.777975378 -23.301811755, 119.77796167 -23.301781572, 119.777946726 -23.301758242, 119.777918477 -23.301724599, 119.777836414 -23.30164058, 119.777738987 -23.301546774, 119.777858688 -23.301440998))",lane,green
"POLYGON((119.643711105 -23.350418088, 119.643713329 -23.350431562, 119.643721932 -23.350453125, 119.64373169 -23.350466208, 119.643743638 -23.350475065, 119.643760595 -23.350481614, 119.643766885 -23.35048889, 119.64376563 -23.350625426, 119.643754995 -23.350633287, 119.643739262 -23.350631895, 119.643693979 -23.350621504, 119.643652883 -23.350602478, 119.643617233 -23.35057609, 119.643588291 -23.350543435, 119.643565102 -23.350502067, 119.643547655 -23.350442412, 119.643711105 -23.350418088))",lane,green
"POLYGON((119.653879544 -23.38742255, 119.653947409 -23.387423371, 119.654042409 -23.387440666, 119.654189293 -23.38748439, 119.654320549 -23.387536657, 119.654411555 -23.387584083, 119.654465083 -23.387623169, 119.654500913 -23.38766193, 119.65452709 -23.387708109, 119.654540888 -23.387760419, 119.654540699 -23.387812887, 119.654527429 -23.38786272, 119.654503459 -23.387906325, 119.654490199 -23.387923106, 119.654359525 -23.38782894, 119.654362686 -23.387825444, 119.65436912 -23.387817097, 119.654375526 -23.387801164, 119.654377348 -23.387783749, 119.654374847 -23.387768557, 119.654368434 -23.387753424, 119.654356252 -23.387738154, 119.654333538 -23.387719547, 119.654294046 -23.387696108, 119.654237769 -23.387668831, 119.654157287 -23.387636211, 119.65407607 -23.387609002, 119.654003298 -23.387588726, 119.653950489 -23.387577823, 119.653914244 -23.387573556, 119.653895358 -23.387574758, 119.653879544 -23.38742255))",lane,green
"POLYGON((119.653522516 -23.387216376, 119.653545783 -23.387153529, 119.653611804 -23.38703576, 119.65369619 -23.386898993, 119.653733474 -23.386832738, 119.653752524 -23.386792434, 119.653759366 -23.386771537, 119.65376018 -23.386768112, 119.653922646 -23.386797784, 119.653913957 -23.386828057, 119.653879913 -23.386903551, 119.65373053 -23.387153038, 119.653705276 -23.387197988, 119.653689213 -23.387232536, 119.653683556 -23.387252178, 119.653522516 -23.387216376))",lane,green
"POLYGON((119.654203414 -23.387884661, 119.654331695 -23.387781664, 119.654387031 -23.387751768, 119.654473733 -23.387724836, 119.654566935 -23.387703645, 119.654606552 -23.387692135, 119.654624076 -23.387711423, 119.654652224 -23.3877028, 119.654781175 -23.387654626, 119.654793451 -23.387649036, 119.654839069 -23.387750731, 119.654747108 -23.387785929, 119.654738765 -23.387789113, 119.654662139 -23.387815766, 119.654659166 -23.387841299, 119.654517723 -23.387876007, 119.654476643 -23.387887053, 119.654449948 -23.387897223, 119.654426837 -23.387911214, 119.654316273 -23.388001892, 119.654203414 -23.387884661))",lane,green
"POLYGON((119.681274451 -23.381213956, 119.681129182 -23.381143514, 119.681086748 -23.381110388, 119.681053861 -23.381070748, 119.681025042 -23.381014072, 119.680988957 -23.380907306, 119.680972727 -23.380810996, 119.680969424 -23.380776742, 119.680998965 -23.380765422, 119.680993787 -23.38070099, 119.680993351 -23.380695297, 119.680986642 -23.380595181, 119.681105531 -23.380588377, 119.681112337 -23.380688494, 119.68111268 -23.380693734, 119.681112266 -23.38069626, 119.681117775 -23.38075654, 119.681148816 -23.380763023, 119.681153086 -23.380809205, 119.681159166 -23.380849983, 119.681170691 -23.380894147, 119.681194644 -23.380958911, 119.681204518 -23.380980575, 119.681216114 -23.38099575, 119.681230878 -23.381006797, 119.681356397 -23.381066062, 119.681274451 -23.381213956))",lane,green
"POLYGON((119.662909112 -23.367007625, 119.662956649 -23.36699627, 119.663182278 -23.366942376, 119.663255202 -23.36693547, 119.663317642 -23.366941304, 119.663280869 -23.367090376, 119.663275401 -23.367089429, 119.66326358 -23.367088069, 119.66323511 -23.367089103, 119.66319084 -23.36709624, 119.662951371 -23.367155531, 119.662909112 -23.367007625))",lane,green
"POLYGON((119.64506447 -23.384297332, 119.644970656 -23.384246813, 119.644963065 -23.384242688, 119.644902171 -23.384206974, 119.644879667 -23.384218713, 119.64481506 -23.384172042, 119.644754429 -23.384107704, 119.64462096 -23.383934495, 119.644588627 -23.383898381, 119.644568637 -23.383881241, 119.64455103 -23.383870984, 119.644547515 -23.383870414, 119.644601849 -23.383725999, 119.644627673 -23.383736052, 119.644678633 -23.38376735, 119.644732533 -23.383819171, 119.644852101 -23.38397249, 119.644889515 -23.384019843, 119.644918947 -23.384052321, 119.644943106 -23.384073378, 119.64497383 -23.384092953, 119.644969022 -23.384115943, 119.645002474 -23.384136713, 119.6450306 -23.384151752, 119.645038385 -23.384155969, 119.645124512 -23.384202272, 119.64506447 -23.384297332))",lane,green
